Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Horseshoes and Hand Grenades","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106026838/horseshoes-and-hand-grenades,3.7,-1,Sport,5.11a,1,60,36.00394,-93.28377
"Taliban soup","Prophecy Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105986418/taliban-soup,3.7,-1,Sport,5.11,1,,36.00388,-93.29631
"WMA Crack","Confederate Cracks > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105986617/wma-crack,3.6,-1,Trad,5.9+,1,60,36.00132,-93.29346
"Hackberry Crack","Walls Of Moria > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106063523/hackberry-crack,3.6,-1,Trad,5.9,1,50,36.00196,-93.29396
"Crimp Scampi","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970881/crimp-scampi,3.5,-1,Sport,5.10d,1,70,36.00881,-93.29549
"Fat Hand","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106299414/fat-hand,3.5,-1,Sport,5.12a,1,65,36.00881,-93.29549
"Learning to Fly","Prophecy Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106049435/learning-to-fly,3.5,-1,Sport,5.10c,1,55,36.00388,-93.29631
"Mr. Magoo","Mr. Magoo Rock > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106048532/mr-magoo,3.5,-1,Sport,5.10c,1,55,36.0055,-93.2861
"Green Goblin","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105965785/green-goblin,3.5,-1,Sport,5.8,1,65,36.00881,-93.29549
"Big Top","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105980008/big-top,3.5,-1,Sport,5.11b,1,65,36.00881,-93.29549
"Swamp Rat","Cliffs of Insanity > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106264981/swamp-rat,3.5,-1,Sport,5.8,1,70,36.0049,-93.2846
"Poison Ivy","Poison Ivy Wall > The Throne > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105901659/poison-ivy,3.5,-1,Trad,5.7+,1,55,35.87134,-93.05191
"Orange Crush","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105988227/orange-crush,3.4,-1,Sport,5.9+,1,,36.00394,-93.28377
"Love Slave","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105986396/love-slave,3.4,-1,Sport,5.11c,1,40,36.00881,-93.29549
"Deft Jam","Confederate Cracks > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106060483/deft-jam,3.5,-1,Trad,5.9,1,55,36.00132,-93.29346
Commodus,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970902/commodus,3.3,-1,Sport,5.10b,1,65,36.00546,-93.2851
"Dancing Outlaw","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107326739/dancing-outlaw,3.4,-1,Sport,5.9+,1,70,36.00881,-93.29549
Boronocus,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970909/boronocus,3.6,-1,Sport,5.11b/c,1,85,36.00546,-93.2851
"Man Servant","Mr. Magoo Rock > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106048554/man-servant,3.3,-1,Sport,5.9+,1,55,36.0055,-93.2861
"Sonny Jim","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970892/sonny-jim,3.2,-1,Sport,5.11a,1,70,36.00881,-93.29549
"Gimp and Wheezer","Walls Of Moria > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106049204/gimp-and-wheezer,3.2,-1,Sport,5.10a,1,65,36.00196,-93.29396
"African Herbman","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105968114/african-herbman,3.1,-1,Sport,5.8,1,55,36.00881,-93.29549
"Purple Nehi","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106207924/purple-nehi,3.5,-1,Sport,5.11b/c,1,65,36.00394,-93.28377
Treebeard,"Walls Of Moria > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106243491/treebeard,3.0,-1,Trad,5.7+,1,50,36.00196,-93.29396
"Sour Girl","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106049194/sour-girl,3.0,-1,Sport,5.10b,1,35,36.00881,-93.29549
"Lavender Eye","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970888/lavender-eye,3.0,-1,Sport,5.12a,1,70,36.00881,-93.29549
"Private Property","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105977938/private-property,3.0,-1,Sport,5.10a,1,55,36.00881,-93.29549
"First Normal Form","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105976438/first-normal-form,3.0,-1,Sport,5.9+,1,65,36.00881,-93.29549
"Season of the Storm","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106269043/season-of-the-storm,3.0,-1,Sport,5.10a,1,65,36.00881,-93.29549
"The Greatest Show on Earth","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105968393/the-greatest-show-on-earth,2.9,-1,Sport,5.8,1,,36.00881,-93.29549
"Gracie's Eight","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106029776/gracies-eight,3.0,-1,Sport,5.8+,1,55,36.00394,-93.28377
"Boston Rag","White Trash Wall > The Throne > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105906498/boston-rag,2.9,-1,Trad,5.7,1,60,35.87063,-93.05327
"Mine Mine Mine","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106098611/mine-mine-mine,3.5,-1,Sport,5.12a,1,50,36.00881,-93.29549
"Albino Rhino","South Side & Albino Rhino Wall > The Throne > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105906276/albino-rhino,2.9,-1,Trad,5.7+,1,55,35.87072,-93.05205
Strongman,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105977059/strongman,2.8,-1,Sport,5.9+,1,50,36.00881,-93.29549
"The Controversy","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105976420/the-controversy,2.8,-1,Sport,5.9,1,65,36.00881,-93.29549
"King Kong","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106099195/king-kong,3.4,-1,Sport,5.11a,1,60,36.00394,-93.28377
"Lion Tamer","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105976426/lion-tamer,2.7,-1,Sport,5.9-,1,65,36.00881,-93.29549
Leonid,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106098464/leonid,2.7,-1,Sport,5.9,1,60,36.00881,-93.29549
Groovy,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106137077/groovy,2.7,-1,Sport,5.8,1,45,36.00881,-93.29549
"Around the Fur","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105965087/around-the-fur,2.6,-1,Sport,5.8,1,45,36.00881,-93.29549
Sybarite,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106028596/sybarite,2.6,-1,Sport,5.9,1,45,36.00546,-93.2851
"Harry Butthole Pussy Potter","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105975842/harry-butthole-pussy-potter,2.4,-1,Sport,5.8+,1,45,36.00881,-93.29549
"Port Side","Titanic Boulder > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105965234/port-side,3.4,-1,Sport,5.11a,1,35,36.0053,-93.2973
"Squirrel Deck","Titanic Boulder > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106228710/squirrel-deck,2.4,-1,Sport,5.8+,1,30,36.0053,-93.2973
"Stiff-Neked Fools","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107503057/stiff-neked-fools,2.6,-1,"Trad, Sport","5.8+ PG13",1,40,36.00881,-93.29549
"Dead Dog","Dead Dog & Energamata Walls > East Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106654497/dead-dog,3.9,-1,Sport,5.11a,1,60,35.87344,-93.04724
"Perfect Hair Forever","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106264896/perfect-hair-forever,2.4,-1,Sport,5.7,1,40,36.00881,-93.29549
"Diagonal Crack","White Trash Wall > The Throne > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105906507/diagonal-crack,2.8,-1,Trad,5.7,1,40,35.87063,-93.05327
"Girth Hitch","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106098472/girth-hitch,2.4,-1,Sport,5.7,1,45,36.00881,-93.29549
Sundial,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106137072/sundial,2.3,-1,Sport,5.7,1,45,36.00881,-93.29549
Aphrodite,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106264923/aphrodite,2.3,-1,Sport,5.7,1,45,36.00546,-93.2851
"Ceasar's Tossed Salad","Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106028601/ceasars-tossed-salad,3.1,-1,Sport,5.10c,1,75,36.00546,-93.2851
Spartacus,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970913/spartacus,2.9,-1,Sport,5.11b/c,1,65,36.00546,-93.2851
"Hudson Crack","Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/110167961/hudson-crack,3.7,-1,Trad,5.8,1,60,35.85138,-93.12402
"Emotional Content","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105988235/emotional-content,2.9,-1,Sport,5.10b,1,60,36.00394,-93.28377
"Ace in the Hole","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107888833/ace-in-the-hole,2.6,-1,Sport,5.9+,1,65,36.00881,-93.29549
Maximus,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106730323/maximus,3.6,-1,Sport,5.12a,2,75,36.00546,-93.2851
"Cows in the Mist","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106718943/cows-in-the-mist,2.5,-1,Sport,5.7,1,40,36.00881,-93.29549
"First Time Up","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105988241/first-time-up,3.4,-1,Trad,5.8+,1,60,36.00394,-93.28377
"Little Manly Man","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106104393/little-manly-man,2.4,-1,Sport,5.7,1,60,36.00881,-93.29549
"Montezuma's Toe","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106136655/montezumas-toe,2.4,-1,Sport,5.8+,1,40,36.00394,-93.28377
"Emmas's Got a Mullet","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106718956/emmass-got-a-mullet,2.6,-1,Sport,5.7,1,40,36.00881,-93.29549
Silverfish,"Seed Wall > The Outback > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106145440/silverfish,3.4,-1,Trad,5.8+,1,55,35.88049,-93.04828
"Ramblin' Man","Prophecy Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106049429/ramblin-man,2.3,-1,Sport,5.8+,1,30,36.00388,-93.29631
"Gracious Grant","Candy Mountain > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/110489523/gracious-grant,4.0,-1,Sport,5.10d,1,65,35.8447,-93.0459
"The Lookout","Titanic Boulder > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105977030/the-lookout,2.3,-1,Sport,5.9,1,30,36.0053,-93.2973
"Corn Grinder","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106294136/corn-grinder,3.3,-1,Sport,5.12c,1,70,36.00881,-93.29549
"Bucket Brigade","Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/110167976/bucket-brigade,3.5,-1,Sport,5.10b,1,50,35.85138,-93.12402
"Monkeys on Magoo","Mr. Magoo Rock > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106026849/monkeys-on-magoo,3.4,-1,Sport,5.10a,1,55,36.0055,-93.2861
"Newton County Mentality","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105965185/newton-county-mentality,2.2,-1,Sport,5.10d,1,45,36.00881,-93.29549
"Up your Buttress","Confederate Cracks > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107329265/up-your-buttress,3.5,-1,Trad,5.10a,1,70,36.00132,-93.29346
"Local Hebrew","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106098593/local-hebrew,2.4,-1,Sport,5.9+,1,50,36.00881,-93.29549
"Supersoul Sureshot","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105988238/supersoul-sureshot,3.8,-1,Sport,5.12c,1,55,36.00394,-93.28377
"Ship of Fools","Titanic Boulder > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107109746/ship-of-fools,2.7,-1,Sport,5.10a,1,40,36.0053,-93.2973
"Flying Elvis","Brick Attack Area > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105986585/flying-elvis,3.8,-1,Sport,5.12a,1,60,35.84236,-93.05688
"Zeke's Didge Dance","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/108369875/zekes-didge-dance,2.6,-1,Sport,5.10b,1,,36.00881,-93.29549
"Pee Green","Amateur Route Area > Jamestown Crag > Arkansas",https://www.mountainproject.com/route/106408018/pee-green,3.5,-1,Sport,5.9,1,50,35.6604,-91.7539
Molt,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106098603/molt,2.4,-1,Sport,5.8+,1,50,36.00881,-93.29549
"Sons of the Soil","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105965172/sons-of-the-soil,2.3,-1,Sport,5.10a,1,40,36.00881,-93.29549
"The Farrier","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/110559773/the-farrier,3.1,-1,Sport,5.11d,1,40,36.00394,-93.28377
"Stems and Seeds","Gravity Slab/Meltdown Wall > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105906531/stems-and-seeds,3.8,-1,Trad,5.9+,1,55,35.84264,-93.05762
Fogell,"Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/110168018/fogell,3.9,-1,Sport,5.11c/d,1,55,35.85138,-93.12402
"Achilles Heel","Candy Mountain > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/110489694/achilles-heel,3.8,-1,Sport,5.11b,1,60,35.8447,-93.0459
"The Man in Black","Cliffs of Insanity > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106264964/the-man-in-black,2.1,-1,Sport,5.7,1,65,36.0049,-93.2846
"Road Hog","Mr. Magoo Rock > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106031324/road-hog,3.0,-1,Sport,5.10a,1,,36.0055,-93.2861
"Brick Attack","Brick Attack Area > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/107878689/brick-attack,3.8,-1,Sport,5.12a,1,55,35.84236,-93.05688
Petrified,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/108106343/petrified,2.1,-1,Sport,5.12a,1,40,36.00881,-93.29549
"Plumb Bob","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105988232/plumb-bob,3.0,-1,Sport,5.11a,1,60,36.00394,-93.28377
"Processed Meat","Crankenstein Boulder-Meat Walls > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106277850/processed-meat,3.3,-1,Sport,5.10d,1,50,35.84204,-93.05529
"Red Faced Lizard","Crankenstein Boulder-Meat Walls > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/111001976/red-faced-lizard,3.4,-1,Sport,5.9,1,50,35.84204,-93.05529
"Right to Flight/ The Nose","Crag Central > Mt. Magazine Proper > Mount Magazine State Park > Arkansas",https://www.mountainproject.com/route/106208007/right-to-flight-the-nose,3.9,-1,Trad,5.9,1,80,35.16293,-93.64657
"Caught in the Closet Again","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107424389/caught-in-the-closet-again,2.3,-1,Sport,5.7,1,50,36.00881,-93.29549
"Acree Prime","Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/108378597/acree-prime,2.4,-1,Sport,5.7,1,40,36.00546,-93.2851
"Razorback Roof","Arachnophobia, Dark Side, & International Walls > West Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105903630/razorback-roof,3.1,-1,Trad,5.9+,1,70,35.87522,-93.04864
"For Whom the Bell Tolls","Haw Creek East > Haw Creek > Arkansas",https://www.mountainproject.com/route/108892428/for-whom-the-bell-tolls,3.9,-1,Trad,5.10a,1,65,35.6788,-93.2382
"Painted Warrior","Valley of The Blind > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105941930/painted-warrior,3.9,-1,Sport,5.12a,1,90,35.86384,-93.04812
"Willy Wonka","Candy Mountain > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/110489734/willy-wonka,3.2,-1,Sport,5.10b,1,55,35.8447,-93.0459
"Windy Armbuster","Chickenhead Wall > East Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/107632999/windy-armbuster,3.9,-1,Trad,"5.10d PG13",1,70,35.8727,-93.04975
"Wizard and Glass","Candy Mountain > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/110575011/wizard-and-glass,3.5,-1,Sport,5.11a,1,60,35.8447,-93.0459
"Involuntary Manslaughter","Brick Attack Area > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105986591/involuntary-manslaughter,3.6,-1,Trad,5.10c/d,1,,35.84236,-93.05688
"Brand New","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106718969/brand-new,2.3,-1,Sport,5.8,1,45,36.00881,-93.29549
"Paul's Redemption","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107424372/pauls-redemption,2.4,-1,Sport,5.7,1,60,36.00881,-93.29549
"Diet Pepsi","Arachnophobia, Dark Side, & International Walls > West Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105903618/diet-pepsi,3.7,-1,Trad,5.10a,1,70,35.87522,-93.04864
"Horny Goatweed","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105979996/horny-goatweed,2.3,-1,Sport,5.11a,1,50,36.00881,-93.29549
Recidivist,"The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106961673/recidivist,2.7,-1,Sport,5.10b,1,55,36.00394,-93.28377
"The Show Me State","The Heart Chamber > Stack Rock > Richland Creek Area > Arkansas",https://www.mountainproject.com/route/107950447/the-show-me-state,3.9,-1,Sport,5.12a,1,65,35.8844,-92.9114
"The Bulb","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105965159/the-bulb,2.3,-1,Sport,5.8,1,40,36.00881,-93.29549
"Job 3:25","Chickenhead Wall > East Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106145431/job-325,3.3,-1,Sport,5.10c,1,80,35.8727,-93.04975
"Meck, Mecke, What's the Difference?","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107704526/meck-mecke-whats-the-difference,2.4,-1,Sport,5.9+,1,35,36.00881,-93.29549
"Memoirs of a Daisha","Mr. Magoo Rock > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106556356/memoirs-of-a-daisha,1.9,-1,Sport,5.7,1,50,36.0055,-93.2861
"Last Chance","Warrior Wall & Last Chance Wall > The Outback > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105902831/last-chance,3.0,-1,Trad,5.7,1,50,35.88049,-93.04828
"Slam Wow","Brick Attack Area > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/110491537/slam-wow,2.9,-1,Sport,5.10b,1,60,35.84236,-93.05688
"Slam Dance","The Prow & Reality Wall > East Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105905122/slam-dance,3.3,-1,Trad,5.7,1,70,35.87274,-93.04841
"Ode to a Portly Man","Coup D'etat Wall > West Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106259562/ode-to-a-portly-man,3.8,-1,"Trad, Sport",5.11c,1,75,35.87522,-93.04864
"Battle of the Bulge","Coup D'etat Wall > West Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105903979/battle-of-the-bulge,3.0,-1,Trad,5.10a,1,65,35.87522,-93.04864
"The Invasion","Invasion Wall > Cowell Area > Arkansas",https://www.mountainproject.com/route/110490034/the-invasion,3.9,-1,Sport,5.12d,1,45,35.87141,-93.13034
"Deer Camp","Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/110196951/deer-camp,2.9,-1,Sport,5.10c,1,50,35.85138,-93.12402
"Egyptian Airbus","Prophecy Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105986411/egyptian-airbus,3.3,-1,Sport,5.12c,1,65,36.00388,-93.29631
"Lips and Assholes","Crankenstein Boulder-Meat Walls > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106277858/lips-and-assholes,3.0,-1,Sport,5.11a,1,50,35.84204,-93.05529
"Arkansas Reality","The Prow & Reality Wall > East Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/105941939/arkansas-reality,3.8,-1,Trad,5.11c,1,55,35.87274,-93.04841
"The Clowning","Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/110231097/the-clowning,2.9,-1,Sport,5.9+,1,60,35.85138,-93.12402
Centurion,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970918/centurion,2.4,-1,Sport,5.10a,1,65,36.00546,-93.2851
"Trail of Fears","Reservation Wall > Fern > Arkansas",https://www.mountainproject.com/route/107474106/trail-of-fears,3.6,-1,Sport,5.11c,1,40,35.6176,-94.0059
"Flammin Piss","VD Wall > Jamestown Crag > Arkansas",https://www.mountainproject.com/route/106407929/flammin-piss,3.9,-1,Sport,5.10c,1,90,35.6604,-91.7539
"Hickedelic Jazz Grass","Crackhouse Alley > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105986611/hickedelic-jazz-grass,2.5,-1,Sport,5.8,1,60,35.99981,-93.29369
"White Noise","The Tomb > Rock Creek > Arkansas",https://www.mountainproject.com/route/110448250/white-noise,4.0,-1,Sport,5.12c,1,80,35.7469,-93.26835
PMA,"Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/110168053/pma,3.6,-1,Sport,5.10d,1,60,35.85138,-93.12402
"Yo Momma","The Land Beyond > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107603176/yo-momma,3.0,-1,Sport,5.10a/b,1,35,36.00982,-93.29337
Goldline,"Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/108438637/goldline,3.9,-1,Sport,5.12+,1,55,35.85138,-93.12402
"The Black","Valley of The Blind > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106313466/the-black,4.0,-1,Sport,5.12c,1,90,35.86384,-93.04812
"Burn in Hell","The Fire Wall > Rock Creek > Arkansas",https://www.mountainproject.com/route/113050460/burn-in-hell,4.0,-1,Sport,5.12a,1,55,35.74661,-93.26648
"Sphagnum Esplanade","Cliffs of Insanity > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107109731/sphagnum-esplanade,2.6,-1,Sport,5.8,1,70,36.0049,-93.2846
"Spank Me","Outback Wall > The Outback > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106654400/spank-me,3.5,-1,Sport,5.10d,1,50,35.88049,-93.04828
"Seaana Says","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/108764826/seaana-says,2.6,-1,Sport,5.11c,1,30,36.00881,-93.29549
"This Ain't My First Rodeo","Amateur Route Area > Jamestown Crag > Arkansas",https://www.mountainproject.com/route/107362539/this-aint-my-first-rodeo,3.3,-1,Sport,5.10b,1,55,35.6604,-91.7539
"In The Crack Or On Your Back","Confederate Cracks > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/110264400/in-the-crack-or-on-your-back,3.6,-1,Trad,5.10c,1,50,36.00132,-93.29346
"F.O.A. (F***ed On Arrival)","Strawberry shortcake wall > Jamestown Crag > Arkansas",https://www.mountainproject.com/route/107934900/foa-fed-on-arrival,3.4,-1,Sport,5.11b,1,55,35.66499,-91.7572
"The Natural","The Prow & Reality Wall > East Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/111150267/the-natural,3.6,-1,Trad,5.10a,1,60,35.87274,-93.04841
"White Trash","White Trash Wall > The Throne > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106654461/white-trash,2.9,-1,Trad,5.9+,1,40,35.87063,-93.05327
"Dos Hermanos","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/108765263/dos-hermanos,2.1,-1,Sport,5.8+,1,40,36.00881,-93.29549
Spam,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/108210930/spam,2.0,-1,Sport,5.7,1,55,36.00881,-93.29549
"Mirage De Sade","The Hallucinogen Wall > Mt. Magazine Proper > Mount Magazine State Park > Arkansas",https://www.mountainproject.com/route/106207989/mirage-de-sade,4.0,-1,Sport,5.11a,1,70,35.16287,-93.64601
"Hudson Hangover","Hudson Mountain > Cowell Area > Arkansas",https://www.mountainproject.com/route/111677411/hudson-hangover,3.0,-1,Sport,5.10a,1,60,35.85138,-93.12402
"Fashion Sense","Cliffs of Insanity > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106264972/fashion-sense,2.2,-1,Sport,"5.8 R",1,65,36.0049,-93.2846
